Id,Address,ChannelType,User.UserId,User.UserAttributes.FirstName,User.UserAttributes.LastName,User.UserAttributes.Stage,User.UserAttributes.CLVTier,User.UserAttributes.PreferredChannel,User.UserAttributes.NextRecommendedOffer,User.UserAttributes.PlanType,Metrics.ChurnPrediction,Metrics.UpsellPrediction,Attributes.LastEngagement
example1,success+example1@simulator.amazonses.com,EMAIL,1,John1,Doe1,Upsell,Low,Email,ProductX,Standard,0.473787421,0.787279064,2020-03-05T12:04:39.914Z
example2,success+example2@simulator.amazonses.com,EMAIL,2,John2,Doe2,Renewal,High,Email,ProductX,Standard,0.646152161,0.830865326,2020-03-05T12:04:39.914Z
example3,success+example3@simulator.amazonses.com,EMAIL,3,John3,Doe3,Renewal,High,Email,ProductX,Premium,0.697711889,0.247016716,2020-03-05T12:04:39.914Z
example4,success+example4@simulator.amazonses.com,EMAIL,4,John4,Doe4,Usage,High,Email,ProductX,Premium,0.01140839,0.927754136,2020-03-05T12:04:39.914Z
example5,success+example5@simulator.amazonses.com,EMAIL,5,John5,Doe5,Renewal,Low,Email,ProductX,Standard,0.739712536,0.88518318,2020-03-05T12:04:39.914Z
example6,success+example6@simulator.amazonses.com,EMAIL,6,John6,Doe6,Renewal,High,Email,ProductX,Standard,0.952689791,0.316720593,2020-03-05T12:04:39.914Z
example7,success+example7@simulator.amazonses.com,EMAIL,7,John7,Doe7,Usage,Low,Email,ProductX,Standard,0.728647829,0.62135789,2020-03-05T12:04:39.914Z
example8,success+example8@simulator.amazonses.com,EMAIL,8,John8,Doe8,Usage,High,Email,ProductX,Standard,0.786593464,0.079624052,2020-03-05T12:04:39.914Z
example9,success+example9@simulator.amazonses.com,EMAIL,9,John9,Doe9,Upsell,Low,Email,ProductX,Standard,0.096345229,0.268989139,2020-03-05T12:04:39.914Z
example10,success+example10@simulator.amazonses.com,EMAIL,10,John10,Doe10,Renewal,High,Email,ProductX,Standard,0.850252792,0.631849311,2020-03-05T12:04:39.914Z
example11,success+example11@simulator.amazonses.com,EMAIL,11,John11,Doe11,Upsell,Low,Email,ProductX,Standard,0.661172734,0.911936006,2020-03-05T12:04:39.914Z
example12,success+example12@simulator.amazonses.com,EMAIL,12,John12,Doe12,Renewal,Low,Email,ProductX,Premium,0.218061544,0.401230929,2020-03-05T12:04:39.914Z
example13,success+example13@simulator.amazonses.com,EMAIL,13,John13,Doe13,Usage,Low,Email,ProductX,Premium,0.93623618,0.041597316,2020-03-05T12:04:39.914Z
example14,success+example14@simulator.amazonses.com,EMAIL,14,John14,Doe14,Renewal,Low,Email,ProductX,Standard,0.183695674,0.506033788,2020-03-05T12:04:39.914Z
example15,success+example15@simulator.amazonses.com,EMAIL,15,John15,Doe15,Renewal,High,Email,ProductX,Premium,0.025115962,0.523359219,2020-03-05T12:04:39.914Z
example16,success+example16@simulator.amazonses.com,EMAIL,16,John16,Doe16,Renewal,High,Email,ProductX,Premium,0.390771214,0.216705064,2020-03-05T12:04:39.914Z
example17,success+example17@simulator.amazonses.com,EMAIL,17,John17,Doe17,Renewal,High,Email,ProductX,Standard,0.971694331,0.708531691,2020-03-05T12:04:39.914Z
example18,success+example18@simulator.amazonses.com,EMAIL,18,John18,Doe18,Usage,Low,Email,ProductX,Premium,0.526910191,0.551108061,2020-03-05T12:04:39.914Z
example19,success+example19@simulator.amazonses.com,EMAIL,19,John19,Doe19,Upsell,Low,Email,ProductX,Premium,0.861353523,0.122980287,2020-03-05T12:04:39.914Z
example20,success+example20@simulator.amazonses.com,EMAIL,20,John20,Doe20,Renewal,Low,Email,ProductX,Standard,0.958925603,0.975129458,2020-03-05T12:04:39.914Z
example21,success+example21@simulator.amazonses.com,EMAIL,21,John21,Doe21,Upsell,High,Email,ProductX,Standard,0.921791957,0.464948266,2020-03-05T12:04:39.914Z
example22,success+example22@simulator.amazonses.com,EMAIL,22,John22,Doe22,Usage,High,Email,ProductX,Premium,0.749584012,0.461562312,2020-03-05T12:04:39.914Z
example23,success+example23@simulator.amazonses.com,EMAIL,23,John23,Doe23,Upsell,Low,Email,ProductX,Premium,0.170962256,0.229904149,2020-03-05T12:04:39.914Z
example24,success+example24@simulator.amazonses.com,EMAIL,24,John24,Doe24,Upsell,Low,Email,ProductX,Premium,0.686443956,0.230440656,2020-03-05T12:04:39.914Z
example25,success+example25@simulator.amazonses.com,EMAIL,25,John25,Doe25,Renewal,High,Email,ProductX,Premium,0.019316413,0.22460515,2020-03-05T12:04:39.914Z
example26,success+example26@simulator.amazonses.com,EMAIL,26,John26,Doe26,Upsell,High,Email,ProductX,Premium,0.500819395,0.167520755,2020-03-05T12:04:39.914Z
example27,success+example27@simulator.amazonses.com,EMAIL,27,John27,Doe27,Upsell,High,Email,ProductX,Standard,0.022190766,0.490584518,2020-03-05T12:04:39.914Z
example28,success+example28@simulator.amazonses.com,EMAIL,28,John28,Doe28,Usage,High,Email,ProductX,Standard,0.304855891,0.817403136,2020-03-05T12:04:39.914Z
example29,success+example29@simulator.amazonses.com,EMAIL,29,John29,Doe29,Renewal,High,Email,ProductX,Premium,0.738347977,0.824444174,2020-03-05T12:04:39.914Z
example30,success+example30@simulator.amazonses.com,EMAIL,30,John30,Doe30,Upsell,High,Email,ProductX,Premium,0.930536621,0.705880268,2020-03-05T12:04:39.914Z
example31,success+example31@simulator.amazonses.com,EMAIL,31,John31,Doe31,Upsell,High,Email,ProductX,Premium,0.965919999,0.676751261,2020-03-05T12:04:39.914Z
example32,success+example32@simulator.amazonses.com,EMAIL,32,John32,Doe32,Upsell,Low,Email,ProductX,Premium,0.932302973,0.30374777,2020-03-05T12:04:39.914Z
example33,success+example33@simulator.amazonses.com,EMAIL,33,John33,Doe33,Usage,Low,Email,ProductX,Premium,0.069591305,0.587961874,2020-03-05T12:04:39.914Z
example34,success+example34@simulator.amazonses.com,EMAIL,34,John34,Doe34,Usage,Low,Email,ProductX,Premium,0.266287904,0.927180024,2020-03-05T12:04:39.914Z
